Date,Open,High,Low,Close,Adj Close,Volume
2024-01-23,55.810001,56.590000,55.549999,56.540001,55.923195,10067200
2024-01-24,56.680000,57.040001,56.439999,56.650002,56.031998,6671300
2024-01-25,56.750000,57.000000,56.529999,56.580002,55.962761,6005600
2024-01-26,56.639999,56.990002,56.549999,56.970001,56.348503,8196100
2024-01-29,56.959999,57.029999,56.060001,56.520000,55.903412,5632300
2024-01-30,56.490002,56.500000,55.950001,56.230000,55.616577,5929900
2024-01-31,56.400002,56.840000,56.119999,56.450001,55.834175,6556000
2024-02-01,56.450001,57.740002,56.299999,57.740002,57.110104,11324300
2024-02-02,57.700001,57.869999,57.139999,57.720001,57.090324,7484500
2024-02-05,57.730000,58.340000,57.349998,58.340000,57.703560,7574400
2024-02-06,58.419998,59.730000,58.400002,59.599998,58.949810,8289000
2024-02-07,59.570000,59.799999,58.669998,59.439999,58.791557,8176500
2024-02-08,59.459999,59.730000,58.259998,58.540001,57.901379,10599600
2024-02-09,58.500000,58.580002,55.299999,57.570000,56.941959,24066000
2024-02-14,57.360001,58.380001,57.080002,58.349998,57.713448,8598300
2024-02-15,58.349998,58.590000,58.009998,58.360001,57.723339,8008600
2024-02-16,58.580002,58.799999,57.410000,57.869999,57.238686,9509400
2024-02-19,57.919998,59.049999,57.599998,58.919998,58.277229,9131800
2024-02-20,58.860001,59.910000,58.740002,59.299999,58.653088,18413200
2024-02-21,59.320000,59.590000,59.060001,59.439999,58.791557,22916100
2024-02-22,58.689999,58.759998,57.919998,58.099998,57.683727,9899200
2024-02-23,58.130001,58.259998,57.139999,57.380001,56.968891,10278100
2024-02-26,57.410000,58.189999,57.250000,57.930000,57.514950,6720900
2024-02-27,58.189999,58.750000,58.000000,58.630001,58.209934,6980100
2024-02-28,58.580002,59.139999,58.410000,58.750000,58.329071,6167500
2024-02-29,58.750000,58.919998,57.700001,57.860001,57.445450,10211800
2024-03-01,57.950001,58.360001,57.830002,57.919998,57.505016,5127900
2024-03-04,58.020000,58.209999,57.470001,57.680000,57.266739,6495100
2024-03-05,57.799999,58.369999,57.689999,58.080002,57.663876,4706000
2024-03-06,58.220001,59.009998,58.099998,58.939999,58.517712,6241300
2024-03-07,58.939999,59.110001,58.250000,58.380001,57.961723,7428900
2024-03-08,57.009998,58.169998,56.029999,57.810001,57.395809,20002500
2024-03-11,57.700001,57.700001,56.900002,57.230000,56.819962,12581900
2024-03-12,57.009998,58.110001,56.630001,57.599998,57.599998,11361000
2024-03-13,57.509998,57.740002,56.880001,56.959999,56.959999,10399700
2024-03-14,56.950001,57.349998,56.590000,56.709999,56.709999,10353900
2024-03-15,56.820000,57.520000,56.770000,57.290001,57.290001,14195700
2024-03-18,57.299999,57.779999,55.820000,56.029999,56.029999,11317800
2024-03-19,56.240002,56.430000,55.130001,55.830002,55.830002,10120900
2024-03-20,55.830002,56.500000,55.410000,56.430000,56.430000,8843700
2024-03-21,56.599998,57.000000,55.459999,55.639999,55.639999,8871000
2024-03-22,55.669998,55.980000,55.250000,55.410000,55.410000,6568800
2024-03-25,55.430000,56.130001,55.270000,55.630001,55.630001,6450700
2024-03-26,55.689999,56.430000,55.520000,55.930000,55.930000,7738500
2024-03-27,56.169998,56.240002,55.340000,55.970001,55.970001,7937300
2024-03-28,55.759998,56.880001,55.650002,56.619999,56.619999,8536800
2024-04-01,56.700001,56.919998,55.709999,56.080002,56.080002,5455400
2024-04-02,56.049999,56.340000,55.770000,56.169998,56.169998,5256500
2024-04-03,56.090000,56.639999,55.650002,56.389999,56.389999,7300400
2024-04-04,56.549999,57.950001,56.549999,56.770000,56.770000,11676000
2024-04-05,56.900002,57.080002,56.450001,57.009998,57.009998,6401900
2024-04-08,57.500000,58.840000,57.259998,57.900002,57.900002,9848000
2024-04-09,58.250000,58.770000,58.180000,58.389999,58.389999,4696400
2024-04-10,58.340000,58.500000,57.330002,57.599998,57.599998,7069900
